Parameter,Mean_Benign,Std_Benign,Mean_DCIS,Std_DCIS,Mean_IDC,Std_IDC,Mean_Both,Std_Both
area_p,79.0782608695652,124.986685550559,60.2151898734177,78.659713548553,35.9090909090909,40.7065440349918,48.3294797687861,60.0493120835246
area_um,154.993391304348,244.973903679096,118.021772151899,154.173038555164,70.3818181818182,79.7848263085839,94.7257803468208,117.696651683708
circularity,0.695005853687124,0.199367761662745,0.619221137479292,0.202054232365739,0.728394536773656,0.179487411957774,0.712851243791152,0.192948925461454
perimeters,29.7556452173913,27.5430514697925,28.7976582278481,22.3895042397022,20.476696969697,16.1300417069456,24.0051965317919,20.514189270509
FD,0.100353817533471,0.0777761200018533,0.0939547705600652,0.0736877506435395,0.0985862299206566,0.0556649262203609,0.101371486895684,0.0668727913380189
var_cen,0.341691255046149,0.14733051225772,0.40199347444196,0.167098187725967,0.345260760282577,0.160553777155577,0.354631829875478,0.13887146354063
maxmin_cen,6.06365429502808,12.3880594417237,6.76776316838795,5.31804291890516,4.56569253962928,2.90252076443371,5.56990953481349,6.392302614737
FWHM960hand_mean,21.9846785582051,5.25382496639841,17.4428483666205,2.43930294576465,14.8619391636722,1.41489382918389,16.8448025282958,2.60634841466657
FWHM960hand_std,2.25006433635289,1.33259518683796,1.15733770167064,0.713546097248927,0.62774623155093,0.259780308597574,0.899046381644182,0.706756137356672
Area960_mean,0.0671306894071072,0.034897459402496,0.076778858311691,0.0234003765851009,0.0873342365310767,0.0170838984812974,0.0869337103864296,0.0416214809924571
Area960_std,0.0135228311663214,0.0116472940059322,0.0119212130794933,0.00716338350811464,0.0174105121347454,0.00906361471710144,0.0174164594553887,0.0122707560086195
Intensity960_mean,0.00359775905190955,0.00203119786508097,0.00425750974843544,0.00146527048353157,0.00528939764852547,0.00132753330882469,0.00495822044762686,0.00255038914402442
Intensity960_std,0.000760817944511757,0.00075424663484381,0.00073032223627939,0.000464864168319561,0.00116882343218519,0.000647340236405338,0.00107879951569096,0.000779595623290825
Area1070_mean,0.0025970994510986,0.00286474640092974,0.00350355698790504,0.00265282970592362,0.00292972092395411,0.00237226667613199,0.00491765200732827,0.00481925716336137
Area1070_std,0.00374749557741558,0.0058517073629839,0.00330594877467518,0.00175370577627089,0.00238261171132702,0.00145851972515617,0.00348672158313949,0.00231944191003076
Intensity1070_mean,0.000620280965708893,0.00606636316056226,0.000440927625679598,0.000322745292489348,0.000472646211096249,0.000338860726854112,0.000580205860812698,0.000520654394425921
Intensity1070_std,0.00332280091652798,0.0506787168817262,0.000397571538370632,0.000197431713312795,0.000379547916287302,0.00018256230131654,0.000395698669819388,0.000237794097522846
RatioA_carb_phos_mean,0.0800563288271266,0.663662240595473,0.0408265303226646,0.0243546348019613,0.0329715634211951,0.0277057007623594,0.0428115739767815,0.0310857127509571
RatioA_carb_phos_std,0.283178261587259,4.0884785873287,0.0400898610667014,0.0210949584585422,0.0256794966668323,0.0165927151404421,0.031894165520497,0.0200053100400606
RatioI_carb_phos_mean,0.38558149157715,6.39262539340156,0.0956414348164427,0.0596885979747005,0.0911195787843051,0.0715149238832232,0.0931389711403886,0.0643209439512973
RatioI_carb_phos_std,2.63494499257309,48.7217667710812,0.0926128915147697,0.0594141512717535,0.0692497029527364,0.0393503943944885,0.0700088662621256,0.0431884762096286
Area1004_mean,0.0623955547686436,1.07018046624276,0.0168786810290369,0.0056476614860614,0.0225919904253971,0.00400516393307934,0.0212921850181921,0.0341321232730762
Area1004_std,0.701520505442905,14.0537443016528,0.0106259912669903,0.0309847116386279,0.00419801477544565,0.00272658556942766,0.0354557762910647,0.319335201076324
Intensity1004_mean,0.0111485283635631,0.0772186133065007,0.00595129783610185,0.0256355569470118,0.00318979846092171,0.000614584427011377,0.00288826148109344,0.00355704650195234
Intensity1004_std,0.107287227147188,0.823559631077092,0.0283213232722816,0.17639239987075,0.00067075422989696,0.000384641535034986,0.00497483948544695,0.0361436946378777
